epoch,stage,loss,val_loss,accuracy,val_accuracy,auc,val_auc
1,Head training,0.7004444599151611,0.5891599059104919,0.6845018267631531,0.7149321436882019,0.741486668586731,0.8472405672073364
2,Head training,0.6105012893676758,0.46795183420181274,0.7121770977973938,0.8039215803146362,0.7674732208251953,0.8879165649414062
3,Head training,0.5438412427902222,0.5130379796028137,0.730100154876709,0.7828054428100586,0.8071197867393494,0.8839482665061951
4,Head training,0.5387081503868103,0.5007275938987732,0.7377437949180603,0.7782805562019348,0.8090153336524963,0.873378574848175
5,Head training,0.5287686586380005,0.49931401014328003,0.7530310750007629,0.8009049892425537,0.8175793886184692,0.8786555528640747
6,Head training,0.5092960596084595,0.5070967078208923,0.7604112029075623,0.7888386249542236,0.8333524465560913,0.8878324627876282
7,Head training,0.5018234252929688,0.5052598118782043,0.765419065952301,0.7963801026344299,0.8374305963516235,0.8888468146324158
8,Head training,0.4997892379760742,0.461071640253067,0.7635740637779236,0.8265460133552551,0.8378854393959045,0.8891674876213074
9,Head training,0.4969167709350586,0.4692735970020294,0.7709541320800781,0.814479649066925,0.8396968245506287,0.8893672227859497
10,Head training,0.4947862923145294,0.48461464047431946,0.769899845123291,0.802413284778595,0.8427841067314148,0.8906601667404175
11,Head training,0.4881316125392914,0.4741341173648834,0.772271990776062,0.8069381713867188,0.8470867276191711,0.8882738947868347
12,Head training,0.47937488555908203,0.45830538868904114,0.7754349112510681,0.8069381713867188,0.8528596758842468,0.8862082362174988
13,Fine-tuning,0.48985448479652405,0.48697802424430847,0.7746441960334778,0.8009049892425537,0.8458142876625061,0.8889361619949341
14,Fine-tuning,0.4786871373653412,0.49662598967552185,0.7814971208572388,0.7963801026344299,0.854418933391571,0.8905813097953796
15,Fine-tuning,0.48034435510635376,0.48201853036880493,0.7691091299057007,0.802413284778595,0.8514707088470459,0.8902502059936523
16,Fine-tuning,0.4758364260196686,0.4803215563297272,0.7799156308174133,0.8009049892425537,0.856313943862915,0.8909282088279724
17,Fine-tuning,0.4793201684951782,0.4798264503479004,0.7783342003822327,0.8039215803146362,0.8538381457328796,0.8907652497291565
18,Fine-tuning,0.465054452419281,0.4797821640968323,0.7886136174201965,0.802413284778595,0.8629583716392517,0.8909597396850586
19,Fine-tuning,0.47427842020988464,0.48416951298713684,0.7793884873390198,0.8039215803146362,0.8572722673416138,0.8910806179046631
20,Fine-tuning,0.4753032326698303,0.4866292178630829,0.7785977721214294,0.7963801026344299,0.8554595708847046,0.8906391263008118
21,Fine-tuning,0.4723876714706421,0.4832649528980255,0.7793884873390198,0.7978883981704712,0.8581355214118958,0.8902502059936523
22,Fine-tuning,0.47697532176971436,0.47948965430259705,0.7851871252059937,0.8009049892425537,0.8553376793861389,0.8910701274871826
23,Fine-tuning,0.4734937250614166,0.47722089290618896,0.7841328382492065,0.8009049892425537,0.8573759198188782,0.8906705975532532
24,Fine-tuning,0.4682665169239044,0.481907457113266,0.7828149795532227,0.8009049892425537,0.8608677387237549,0.890618085861206
25,Fine-tuning,0.45454469323158264,0.48271608352661133,0.7965208292007446,0.7978883981704712,0.8708153963088989,0.8910438418388367
26,Fine-tuning,0.4676113426685333,0.48630401492118835,0.7828149795532227,0.7963801026344299,0.861781895160675,0.8914538621902466
27,Fine-tuning,0.4687812328338623,0.47898682951927185,0.7862414121627808,0.7993966937065125,0.8604809641838074,0.8907600045204163
28,Fine-tuning,0.4641683101654053,0.4785671830177307,0.7962572574615479,0.8009049892425537,0.8641820549964905,0.8908021450042725
29,Fine-tuning,0.47084280848503113,0.4809974133968353,0.7849235534667969,0.7978883981704712,0.8600830435752869,0.8906232714653015
30,Fine-tuning,0.4639345407485962,0.4762555658817291,0.7915129065513611,0.8039215803146362,0.8635310530662537,0.8909807205200195
31,Fine-tuning,0.46412357687950134,0.4852197766304016,0.7843964099884033,0.7948718070983887,0.8636703491210938,0.8915116190910339
32,Fine-tuning,0.4777371883392334,0.4837312698364258,0.7796520590782166,0.7963801026344299,0.8548089265823364,0.8903815746307373
33,Fine-tuning,0.46574944257736206,0.4841679036617279,0.7846599817276001,0.7933635115623474,0.861543595790863,0.8906863927841187
34,Fine-tuning,0.45760101079940796,0.4835425913333893,0.7941486835479736,0.7948718070983887,0.8686671853065491,0.890996515750885
35,Fine-tuning,0.4654495418071747,0.4855045676231384,0.7901950478553772,0.7948718070983887,0.8621191382408142,0.8908283710479736
36,Fine-tuning,0.46786949038505554,0.4758756458759308,0.7886136174201965,0.802413284778595,0.8612044453620911,0.8906286358833313
37,Fine-tuning,0.46177995204925537,0.48186224699020386,0.7933579087257385,0.8009049892425537,0.8654427528381348,0.8912120461463928
